employee_id,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,Gender,Resting_Heart_Rate,company_Glasses,company_Pear,department_BigData,department_Design,department_Sales,department_Search Engine,department_Support,Workload_Score,Experience_Pressure,HeartRate_Stress,Stress_Score,Stress_Level
16,41,38,3,68074.97135,17664.1041,3,0,81.2,True,False,True,False,False,False,False,3.333333333333333,0,7.043010752688172,4.521505376344086,1
56,44,42,2,49092.14746,21551.14108,2,0,75.8,True,False,False,False,False,False,False,2.2222222222222223,0,5.591397849462364,3.4623655913978486,0
59,41,40,1,40000.0,23698.87885,2,1,72.4,False,False,False,False,False,False,True,1.1111111111111112,0,4.677419354838711,2.672043010752689,0
40,39,32,7,108192.4655,21570.92966,1,0,65.6,True,False,False,True,False,False,False,7.777777777777778,6,2.8494623655913958,4.958064516129031,1
47,30,22,9,71291.19113,21565.50572,2,0,73.9,True,False,False,False,False,True,False,10.0,7,5.080645161290324,6.940322580645162,2
13,30,22,7,64959.78673,24792.91,2,0,73.4,False,False,True,False,False,False,False,7.777777777777778,5,4.946236559139786,5.806451612903226,1
34,30,22,7,82031.52506,24792.91,1,0,71.3,True,False,False,True,False,False,False,7.777777777777778,6,4.381720430107526,5.724193548387096,1
53,35,30,5,40863.1099,9660.533707,4,0,75.1,True,False,False,False,False,True,False,5.555555555555555,1,5.403225806451611,4.568279569892472,1
46,49,36,9,54725.12654,21663.42798,1,0,79.5,False,False,True,False,False,False,False,10.0,8,6.586021505376344,7.893010752688172,2
56,49,48,1,101687.7564,13825.94401,4,0,67.4,False,True,False,True,False,False,False,1.1111111111111112,0,3.333333333333335,2.000000000000001,0
30,36,24,9,75125.0531,16767.95195,3,0,69.0,False,False,False,False,False,False,True,10.0,6,3.763440860215054,6.081720430107527,1
31,45,40,5,84374.00043,17923.82929,2,0,71.7,True,False,False,False,False,True,False,5.555555555555555,3,4.489247311827958,4.5112903225806456,1
40,45,40,5,57256.1458,12033.81761,2,0,69.4,True,False,False,False,False,True,False,5.555555555555555,3,3.870967741935485,4.2021505376344095,1
1,38,35,4,123662.8408,24792.91,1,0,63.6,False,True,False,True,False,False,False,4.444444444444445,3,2.3118279569892475,3.089247311827957,0
25,36,29,7,106540.1545,12360.71793,5,1,67.6,False,False,False,False,False,True,False,7.777777777777778,2,3.3870967741935463,4.4268817204301065,1
36,31,24,7,48941.6334,23767.17534,1,1,66.2,True,False,False,False,False,True,False,7.777777777777778,6,3.010752688172044,5.038709677419355,1
71,45,42,3,40000.0,15230.54691,3,0,77.9,False,False,False,False,False,False,True,3.333333333333333,0,6.155913978494625,4.077956989247312,1
34,34,31,2,40000.0,24792.91,1,1,79.5,True,False,False,False,False,False,True,2.2222222222222223,1,6.586021505376344,4.159677419354839,1
40,38,34,5,68196.88887,18198.86656,3,0,66.6,True,False,False,False,False,True,False,5.555555555555555,2,3.1182795698924712,3.625806451612902,1
26,34,33,1,115645.6338,23661.83841,2,0,73.4,False,True,False,False,True,False,False,1.1111111111111112,0,4.946236559139786,2.8064516129032264,0
1,30,22,7,138211.8841,17563.34903,3,0,76.7,True,False,False,True,False,False,False,7.777777777777778,4,5.833333333333334,6.05,1
3,44,40,4,153000.0,24792.91,1,1,64.6,False,False,False,False,False,False,False,4.444444444444445,3,2.5806451612903207,3.2236559139784937,0
37,41,38,3,85850.61192,20306.75664,3,0,72.4,False,False,False,False,False,False,True,3.333333333333333,0,4.677419354838711,3.3387096774193554,0
1,35,26,9,66542.9596,24792.91,1,0,85.8,False,False,False,False,False,False,True,10.0,8,8.279569892473116,8.739784946236558,2
33,40,39,1,89401.36522,14636.83277,3,1,74.4,True,False,False,False,False,False,False,1.1111111111111112,0,5.215053763440861,2.940860215053764,0
70,41,38,2,45963.96145,17807.97705,2,0,70.1,False,True,False,True,False,False,False,2.2222222222222223,0,4.059139784946234,2.6962365591397837,0
26,42,38,4,84410.50319,22072.74522,2,1,69.2,True,False,False,False,False,True,False,4.444444444444445,2,3.8172043010752694,3.6419354838709683,1
21,48,45,3,76472.43419,13060.17708,2,0,61.9,False,False,True,False,False,False,False,3.333333333333333,1,1.8548387096774188,2.1274193548387093,0
66,49,48,2,107986.1742,11295.34821,3,1,74.1,True,False,False,True,False,False,False,2.2222222222222223,0,5.134408602150535,3.233870967741934,0
1,35,32,3,119108.6654,19921.34035,2,0,81.1,False,True,False,False,True,False,False,3.333333333333333,1,7.016129032258062,4.708064516129031,1
47,33,31,2,88736.54865,15927.7152,5,0,66.9,True,False,False,False,False,True,False,2.2222222222222223,0,3.198924731182797,2.266129032258065,0
1,34,28,5,75299.8043,24792.91,1,0,62.2,True,False,False,False,False,True,False,5.555555555555555,4,1.9354838709677424,3.434408602150538,0
1,37,31,6,110386.5503,23377.17434,1,1,69.0,False,True,False,False,True,False,False,6.666666666666666,5,3.763440860215054,4.881720430107527,1
8,30,24,5,105486.2466,20334.50755,4,1,76.1,True,False,False,False,False,False,False,5.555555555555555,1,5.672043010752686,4.702688172043009,1
